Field,Unit,Note
"('flash', 'dens')",code_mass/code_length**3,
"('flash', 'pres')",code_mass/(code_length*code_time**2),
"('flash', 'tele')",code_temperature,
"('flash', 'tion')",code_temperature,
"('flash', 'trad')",code_temperature,
"('gas', 'El_number_density')",cm**(-3),
"('gas', 'averaged_density')",g/cm**3,
"('gas', 'cell_mass')",g,
"('gas', 'cell_volume')",cm**3,
"('gas', 'density')",g/cm**3,
"('gas', 'density_gradient_magnitude')",g/cm**4,
"('gas', 'density_gradient_x')",g/cm**4,
"('gas', 'density_gradient_y')",g/cm**4,
"('gas', 'density_gradient_z')",g/cm**4,
"('gas', 'ion_number_density')",cm**(-3),
"('gas', 'mass')",g,
"('gas', 'number_density')",cm**(-3),
"('gas', 'optical_depth')",1/cm,
"('gas', 'pressure')",dyn/cm**2,
"('gas', 'pressure_gradient_magnitude')",dyn/cm**3,
"('gas', 'pressure_gradient_x')",dyn/cm**3,
"('gas', 'pressure_gradient_y')",dyn/cm**3,
"('gas', 'pressure_gradient_z')",dyn/cm**3,
"('gas', 'sound_speed')",cm/s,
"('index', 'cell_volume')",code_length**3,